instance_id,model,probe,probe_level,strategy,condition,metric_name,dim,rep,correct,error_type,final_answer,is_empty,evaluation_method,duration_s,output_len
v6_GLM-4-9B-0_L1_cot_abstract_r2,GLM-4-9B-0414,Position Sensitivity,1,cot,abstract,minkowski_4,4,2,True,none,FINAL ANSWER:  ω_{1} * ω_{2} * ω_{3},False,contains_gt,5.6,1218
v6_Qwen3-14B_L0_cot_abstract_r1,Qwen3-14B,Anti-Commutativity,0,cot,abstract,minkowski_4,4,1,True,none,0,False,semantic_equivalent,16.0,1150
v6_Qwen3-14B_L0_cot_abstract_r0,Qwen3-14B,Anti-Commutativity,0,cot,abstract,minkowski_4,4,0,True,none,0,False,semantic_equivalent,16.0,1150
v6_GLM-4-9B-0_L1_cot_abstract_r1,GLM-4-9B-0414,Position Sensitivity,1,cot,abstract,minkowski_4,4,1,True,none,"**  
ω_{1} * ω_{2} * ω_{3}",False,semantic_equivalent,5.8,1168
v6_MiniMax-M2_L0_cot_standard_r0,MiniMax-M2.5,Anti-Commutativity,0,cot,standard,minkowski_4,4,0,True,none,0**,False,semantic_equivalent,16.3,811
v6_DeepSeek-V_L0_cot_abstract_r1,DeepSeek-V3.2,Anti-Commutativity,0,cot,abstract,minkowski_4,4,1,True,none,0**,False,semantic_equivalent,17.9,1130
v6_DeepSeek-V_L0_cot_standard_r1,DeepSeek-V4-Pro,Anti-Commutativity,0,cot,standard,minkowski_4,4,1,True,none,0**,False,semantic_equivalent,18.0,831
v6_DeepSeek-V_L0_cot_random_r2,DeepSeek-V4-Flash,Anti-Commutativity,0,cot,random,minkowski_4,4,2,True,none,0**,False,semantic_equivalent,12.8,589
v6_Qwen3-32B_L0_cot_standard_r0,Qwen3-32B,Anti-Commutativity,0,cot,standard,minkowski_4,4,0,True,none,\boxed{0},False,semantic_equivalent,19.5,598
v6_GLM-4-9B-0_L1_cot_random_r0,GLM-4-9B-0414,Position Sensitivity,1,cot,random,minkowski_4,4,0,True,none,"The final expression in standard order is:

\boxed{\text{BLK}_{1} * \text{DIA}_{2} * \text{TRI}_{3}}",False,contains_gt,9.1,1909
v6_DeepSeek-V_L0_cot_random_r1,DeepSeek-V3,Anti-Commutativity,0,cot,random,minkowski_4,4,1,True,none,0,False,semantic_equivalent,10.0,693
v6_DeepSeek-V_L0_cot_random_r2,DeepSeek-V3,Anti-Commutativity,0,cot,random,minkowski_4,4,2,True,none,0,False,semantic_equivalent,9.8,827
v6_Qwen3-8B-L_L0_cot_random_r0,Qwen3-8B-Local,Anti-Commutativity,0,cot,random,minkowski_4,4,0,True,none,0,False,semantic_equivalent,21.2,362
v6_GLM-4-9B-0_L1_cot_random_r2,GLM-4-9B-0414,Position Sensitivity,1,cot,random,minkowski_4,4,2,True,none,\text{BLK}_{1} * \text{DIA}_{2} * \text{TRI}_{3},False,semantic_equivalent,6.5,1482
v6_DeepSeek-V_L0_cot_abstract_r0,DeepSeek-V4-Pro,Anti-Commutativity,0,cot,abstract,minkowski_4,4,0,True,none,0,False,semantic_equivalent,22.5,675
v6_DeepSeek-V_L0_cot_abstract_r2,DeepSeek-V3.2,Anti-Commutativity,0,cot,abstract,minkowski_4,4,2,True,none,0**,False,semantic_equivalent,22.6,1139
v6_MiniMax-M2_L0_cot_abstract_r1,MiniMax-M2.5,Anti-Commutativity,0,cot,abstract,minkowski_4,4,1,True,none,** 0,False,semantic_equivalent,22.9,1060
v6_DeepSeek-V_L0_cot_standard_r0,DeepSeek-V4-Pro,Anti-Commutativity,0,cot,standard,minkowski_4,4,0,True,none,0**,False,semantic_equivalent,23.3,855
v6_DeepSeek-V_L0_cot_random_r0,DeepSeek-V3,Anti-Commutativity,0,cot,random,minkowski_4,4,0,True,none,0,False,semantic_equivalent,13.5,1054
v6_DeepSeek-V_L1_cot_standard_r2,DeepSeek-V4-Flash,Position Sensitivity,1,cot,standard,minkowski_4,4,2,True,none,e_1 e_2 e_3,False,semantic_equivalent,10.7,945
v6_GLM-4-9B-0_L1_cot_random_r1,GLM-4-9B-0414,Position Sensitivity,1,cot,random,minkowski_4,4,1,True,none,\boxed{\text{BLK}_{1} * \text{DIA}_{2} * \text{TRI}_{3}},False,semantic_equivalent,14.6,3171
v6_DeepSeek-V_L1_cot_standard_r0,DeepSeek-V3,Position Sensitivity,1,cot,standard,minkowski_4,4,0,True,none,e_{1} * e_{2} * e_{3},False,semantic_equivalent,15.4,1086
v6_DeepSeek-V_L0_cot_abstract_r1,DeepSeek-V4-Pro,Anti-Commutativity,0,cot,abstract,minkowski_4,4,1,True,none,0,False,semantic_equivalent,27.4,724
v6_DeepSeek-V_L0_cot_random_r1,DeepSeek-V4-Flash,Anti-Commutativity,0,cot,random,minkowski_4,4,1,True,none,0,False,semantic_equivalent,22.3,507
v6_DeepSeek-V_L0_cot_abstract_r2,DeepSeek-V4-Pro,Anti-Commutativity,0,cot,abstract,minkowski_4,4,2,True,none,0**,False,semantic_equivalent,28.2,1077
v6_DeepSeek-V_L1_cot_standard_r1,DeepSeek-V3,Position Sensitivity,1,cot,standard,minkowski_4,4,1,True,none,e_{1} * e_{2} * e_{3},False,semantic_equivalent,16.8,1155
v6_Qwen3-32B_L0_cot_standard_r1,Qwen3-32B,Anti-Commutativity,0,cot,standard,minkowski_4,4,1,True,none,\boxed{0},False,semantic_equivalent,28.3,908
v6_Qwen3-14B_L0_cot_random_r2,Qwen3-14B,Anti-Commutativity,0,cot,random,minkowski_4,4,2,True,none,0,False,semantic_equivalent,15.0,1111
v6_Qwen3-14B_L0_cot_random_r0,Qwen3-14B,Anti-Commutativity,0,cot,random,minkowski_4,4,0,True,none,0,False,semantic_equivalent,15.0,1111
v6_Qwen3-14B_L0_cot_random_r1,Qwen3-14B,Anti-Commutativity,0,cot,random,minkowski_4,4,1,True,none,0,False,semantic_equivalent,15.0,1111
v6_DeepSeek-V_L1_cot_abstract_r1,DeepSeek-V4-Flash,Position Sensitivity,1,cot,abstract,minkowski_4,4,1,True,none,** ω₁ * ω₂ * ω₃,False,semantic_equivalent,14.3,864
v6_DeepSeek-V_L0_cot_random_r1,DeepSeek-V3.2,Anti-Commutativity,0,cot,random,minkowski_4,4,1,True,none,"**  

\boxed{0}",False,semantic_equivalent,16.8,1066
v6_MiniMax-M2_L0_cot_abstract_r2,MiniMax-M2.5,Anti-Commutativity,0,cot,abstract,minkowski_4,4,2,True,none,0**,False,semantic_equivalent,30.4,1067
v6_Qwen3-8B-L_L0_cot_standard_r0,Qwen3-8B-Local,Anti-Commutativity,0,cot,standard,minkowski_4,4,0,True,none,**  0,False,semantic_equivalent,30.4,581
v6_DeepSeek-V_L1_cot_standard_r2,DeepSeek-V3,Position Sensitivity,1,cot,standard,minkowski_4,4,2,True,none,e_{1} * e_{2} * e_{3},False,semantic_equivalent,19.7,1554
v6_GLM-4-9B-0_L2_cot_standard_r2,GLM-4-9B-0414,Sandwich Product,2,cot,standard,minkowski_4,4,2,,uncertain,\boxed{1},False,uncertain,16.1,2937
v6_DeepSeek-V_L0_cot_random_r0,DeepSeek-V3.2,Anti-Commutativity,0,cot,random,minkowski_4,4,0,True,none,"**  

\boxed{0}",False,semantic_equivalent,19.9,1013
v6_DeepSeek-V_L1_cot_abstract_r1,DeepSeek-V3,Position Sensitivity,1,cot,abstract,minkowski_4,4,1,True,none,ω₁ * ω₂ * ω₃,False,semantic_equivalent,11.6,866
v6_DeepSeek-V_L1_cot_abstract_r2,DeepSeek-V4-Flash,Position Sensitivity,1,cot,abstract,minkowski_4,4,2,True,none,** ω₁ * ω₂ * ω₃,False,semantic_equivalent,14.1,692
v6_Qwen3-32B_L0_cot_abstract_r2,Qwen3-32B,Anti-Commutativity,0,cot,abstract,minkowski_4,4,2,True,none,\boxed{0},False,semantic_equivalent,33.2,920
v6_DeepSeek-V_L1_cot_abstract_r2,DeepSeek-V3,Position Sensitivity,1,cot,abstract,minkowski_4,4,2,True,none,ω₁ * ω₂ * ω₃,False,semantic_equivalent,10.2,651
v6_DeepSeek-V_L1_cot_abstract_r0,DeepSeek-V3,Position Sensitivity,1,cot,abstract,minkowski_4,4,0,True,none,ω₁ * ω₂ * ω₃,False,semantic_equivalent,13.7,890
v6_GLM-4-9B-0_L2_cot_abstract_r0,GLM-4-9B-0414,Sandwich Product,2,cot,abstract,minkowski_4,4,0,,uncertain,FINAL ANSWER: - (ω_{2} * ω_{3}),False,uncertain,14.3,3346
v6_GLM-4-9B-0_L2_cot_abstract_r1,GLM-4-9B-0414,Sandwich Product,2,cot,abstract,minkowski_4,4,1,,uncertain,FINAL ANSWER: -1,False,uncertain,12.7,2936
v6_GLM-Z1-9B-_L0_cot_random_r1,GLM-Z1-9B-0414,Anti-Commutativity,0,cot,random,minkowski_4,4,1,True,none,0,False,semantic_equivalent,21.0,759
v6_Qwen3-32B_L0_cot_random_r0,Qwen3-32B,Anti-Commutativity,0,cot,random,minkowski_4,4,0,True,none,**  0,False,semantic_equivalent,19.8,837
v6_MiniMax-M2_L0_cot_random_r0,MiniMax-M2.5,Anti-Commutativity,0,cot,random,minkowski_4,4,0,True,none,0,False,semantic_equivalent,24.2,606
v6_Qwen3-32B_L0_cot_standard_r2,Qwen3-32B,Anti-Commutativity,0,cot,standard,minkowski_4,4,2,True,none,\text{FINAL ANSWER: } 0,False,contains_gt,36.2,755
v6_Qwen3-14B_L1_cot_standard_r2,Qwen3-14B,Position Sensitivity,1,cot,standard,minkowski_4,4,2,True,none,** e₁ * e₂ * e₃,False,semantic_equivalent,20.2,1475
v6_Qwen3-14B_L1_cot_standard_r1,Qwen3-14B,Position Sensitivity,1,cot,standard,minkowski_4,4,1,True,none,** e₁ * e₂ * e₃,False,semantic_equivalent,20.2,1475
v6_GLM-Z1-9B-_L0_cot_abstract_r1,GLM-Z1-9B-0414,Anti-Commutativity,0,cot,abstract,minkowski_4,4,1,True,none,"**  
FINAL ANSWER: 0",False,contains_gt,36.4,382
v6_Qwen3-14B_L1_cot_standard_r0,Qwen3-14B,Position Sensitivity,1,cot,standard,minkowski_4,4,0,True,none,** e₁ * e₂ * e₃,False,semantic_equivalent,20.9,1500
v6_DeepSeek-V_L0_cot_random_r2,DeepSeek-V3.2,Anti-Commutativity,0,cot,random,minkowski_4,4,2,True,none,**,False,semantic_equivalent,21.7,1373
v6_DeepSeek-V_L1_cot_abstract_r0,DeepSeek-V4-Flash,Position Sensitivity,1,cot,abstract,minkowski_4,4,0,True,none,ω₁ * ω₂ * ω₃,False,semantic_equivalent,22.7,897
v6_Qwen3-8B_L0_cot_standard_r1,Qwen3-8B,Anti-Commutativity,0,cot,standard,minkowski_4,4,1,True,none,"**  

\boxed{0}",False,semantic_equivalent,38.7,1472
v6_MiniMax-M2_L0_cot_abstract_r0,MiniMax-M2.5,Anti-Commutativity,0,cot,abstract,minkowski_4,4,0,True,none,0**,False,semantic_equivalent,38.7,901
v6_DeepSeek-V_L1_cot_random_r1,DeepSeek-V3,Position Sensitivity,1,cot,random,minkowski_4,4,1,True,none,BLK_{1} * DIA_{2} * TRI_{3},False,semantic_equivalent,11.2,789
v6_GLM-Z1-9B-_L0_cot_random_r2,GLM-Z1-9B-0414,Anti-Commutativity,0,cot,random,minkowski_4,4,2,True,none,"**  
FINAL ANSWER: 0",False,contains_gt,25.8,701
v6_GLM-4-9B-0_L2_cot_abstract_r2,GLM-4-9B-0414,Sandwich Product,2,cot,abstract,minkowski_4,4,2,,uncertain,FINAL ANSWER: - (ω_{2} * ω_{3}),False,uncertain,13.1,3326
v6_MiniMax-M2_L0_cot_random_r1,MiniMax-M2.5,Anti-Commutativity,0,cot,random,minkowski_4,4,1,True,none,0**,False,semantic_equivalent,25.8,1443
v6_Qwen3-32B_L0_cot_abstract_r1,Qwen3-32B,Anti-Commutativity,0,cot,abstract,minkowski_4,4,1,True,none,**  0,False,semantic_equivalent,40.0,1294
v6_Qwen3-8B_L0_cot_standard_r0,Qwen3-8B,Anti-Commutativity,0,cot,standard,minkowski_4,4,0,True,none,"**  

\boxed{0}",False,semantic_equivalent,40.3,1472
v6_Qwen3-8B-L_L0_cot_random_r1,Qwen3-8B-Local,Anti-Commutativity,0,cot,random,minkowski_4,4,1,True,none,0,False,semantic_equivalent,41.0,362
v6_DeepSeek-V_L1_cot_random_r0,DeepSeek-V3,Position Sensitivity,1,cot,random,minkowski_4,4,0,True,none,FINAL ANSWER: - (BLK_{1} * DIA_{2} * TRI_{3}),False,contains_gt,14.8,1101
v6_DeepSeek-V_L1_cot_standard_r0,DeepSeek-V3.2,Position Sensitivity,1,cot,standard,minkowski_4,4,0,True,none,"**  

e_{1} * e_{2} * e_{3}",False,semantic_equivalent,26.5,1386
v6_Qwen3-8B_L0_cot_standard_r2,Qwen3-8B,Anti-Commutativity,0,cot,standard,minkowski_4,4,2,True,none,"**  

\boxed{0}",False,semantic_equivalent,42.2,1480
v6_Qwen3-32B_L0_cot_random_r2,Qwen3-32B,Anti-Commutativity,0,cot,random,minkowski_4,4,2,True,none,** 0,False,semantic_equivalent,14.6,452
v6_MiniMax-M2_L0_cot_random_r2,MiniMax-M2.5,Anti-Commutativity,0,cot,random,minkowski_4,4,2,True,none,0,False,semantic_equivalent,27.2,640
v6_Qwen3-32B_L0_cot_random_r1,Qwen3-32B,Anti-Commutativity,0,cot,random,minkowski_4,4,1,True,none,\boxed{0},False,semantic_equivalent,24.9,1058
v6_GLM-Z1-9B-_L0_cot_abstract_r0,GLM-Z1-9B-0414,Anti-Commutativity,0,cot,abstract,minkowski_4,4,0,True,none,0,False,semantic_equivalent,44.6,499
v6_DeepSeek-V_L1_cot_standard_r1,DeepSeek-V3.2,Position Sensitivity,1,cot,standard,minkowski_4,4,1,True,none,**  e_1 * e_2 * e_3,False,semantic_equivalent,27.4,1212
v6_MiniMax-M2_L1_cot_standard_r0,MiniMax-M2.5,Position Sensitivity,1,cot,standard,minkowski_4,4,0,True,none,** e_{1} * e_{2} * e_{3},False,semantic_equivalent,22.8,792
v6_DeepSeek-V_L1_cot_random_r2,DeepSeek-V4-Flash,Position Sensitivity,1,cot,random,minkowski_4,4,2,True,none,BLK₁ * DIA₂ * TRI₃,False,semantic_equivalent,17.3,980
v6_DeepSeek-V_L0_cot_random_r1,DeepSeek-V4-Pro,Anti-Commutativity,0,cot,random,minkowski_4,4,1,True,none,0,False,semantic_equivalent,29.1,942
v6_DeepSeek-V_L1_cot_random_r1,DeepSeek-V4-Flash,Position Sensitivity,1,cot,random,minkowski_4,4,1,True,none,** BLK₁ * DIA₂ * TRI₃,False,semantic_equivalent,19.7,842
v6_DeepSeek-V_L1_cot_standard_r2,DeepSeek-V3.2,Position Sensitivity,1,cot,standard,minkowski_4,4,2,True,none,"**  

\boxed{e_1 * e_2 * e_3}",False,semantic_equivalent,25.0,1365
v6_DeepSeek-V_L1_cot_random_r2,DeepSeek-V3,Position Sensitivity,1,cot,random,minkowski_4,4,2,True,none,- (BLK_{1} * DIA_{2} * TRI_{3}),False,contains_gt,17.5,1239
v6_DeepSeek-V_L1_cot_random_r0,DeepSeek-V4-Flash,Position Sensitivity,1,cot,random,minkowski_4,4,0,True,none,BLK₁ * DIA₂ * TRI₃,False,semantic_equivalent,25.8,988
v6_GLM-Z1-9B-_L0_cot_random_r0,GLM-Z1-9B-0414,Anti-Commutativity,0,cot,random,minkowski_4,4,0,True,none,0,False,semantic_equivalent,39.3,579
v6_GLM-Z1-9B-_L0_cot_abstract_r2,GLM-Z1-9B-0414,Anti-Commutativity,0,cot,abstract,minkowski_4,4,2,True,none,0,False,semantic_equivalent,52.8,537
v6_DeepSeek-R_L0_cot_standard_r1,DeepSeek-R1,Anti-Commutativity,0,cot,standard,minkowski_4,4,1,True,none,"**  
The expression simplifies to the scalar  0 .",False,contains_gt,54.1,1257
v6_GLM-4-9B-0_L3_cot_standard_r0,GLM-4-9B-0414,Graded Commutator,3,cot,standard,minkowski_4,4,0,,uncertain,\boxed{A * B + B * A = -e_1 * e_3 - e_4 * e_1},False,uncertain,15.3,2974
v6_Qwen3-8B_L0_cot_abstract_r0,Qwen3-8B,Anti-Commutativity,0,cot,abstract,minkowski_4,4,0,True,none,**  0,False,semantic_equivalent,55.1,663
v6_DeepSeek-V_L2_cot_standard_r1,DeepSeek-V4-Flash,Sandwich Product,2,cot,standard,minkowski_4,4,1,True,none,e_{2} * e_{3},False,semantic_equivalent,18.7,1286
v6_DeepSeek-V_L1_cot_standard_r1,DeepSeek-V4-Pro,Position Sensitivity,1,cot,standard,minkowski_4,4,1,True,none,e_1 * e_2 * e_3,False,semantic_equivalent,28.7,1128
v6_Qwen3-14B_L1_cot_abstract_r1,Qwen3-14B,Position Sensitivity,1,cot,abstract,minkowski_4,4,1,True,none,**FINAL ANSWER: ω₁ * ω₂ * ω₃**,False,contains_gt,26.8,1673
v6_Qwen3-14B_L1_cot_abstract_r2,Qwen3-14B,Position Sensitivity,1,cot,abstract,minkowski_4,4,2,True,none,**FINAL ANSWER: ω₁ * ω₂ * ω₃**,False,contains_gt,26.8,1673
v6_DeepSeek-V_L1_cot_abstract_r1,DeepSeek-V3.2,Position Sensitivity,1,cot,abstract,minkowski_4,4,1,True,none,"**  

\omega_1 * \omega_2 * \omega_3",False,semantic_equivalent,25.3,1529
v6_DeepSeek-V_L2_cot_abstract_r0,DeepSeek-V3,Sandwich Product,2,cot,abstract,minkowski_4,4,0,True,none,ω₂ * ω₃,False,semantic_equivalent,18.2,1436
v6_Qwen3-8B_L0_cot_abstract_r1,Qwen3-8B,Anti-Commutativity,0,cot,abstract,minkowski_4,4,1,True,none,0**,False,semantic_equivalent,59.0,886
v6_MiniMax-M2_L1_cot_standard_r1,MiniMax-M2.5,Position Sensitivity,1,cot,standard,minkowski_4,4,1,True,none,** e_{1} * e_{2} * e_{3},False,semantic_equivalent,29.3,1390
v6_GLM-4-9B-0_L2_cot_random_r1,GLM-4-9B-0414,Sandwich Product,2,cot,random,minkowski_4,4,1,,uncertain,\boxed{-1},False,uncertain,26.0,4683
v6_GLM-4-9B-0_L2_cot_random_r2,GLM-4-9B-0414,Sandwich Product,2,cot,random,minkowski_4,4,2,,uncertain,\boxed{-1},False,uncertain,26.0,4683
v6_DeepSeek-V_L1_cot_abstract_r0,DeepSeek-V3.2,Position Sensitivity,1,cot,abstract,minkowski_4,4,0,True,none,"**  

\omega_1 * \omega_2 * \omega_3",False,semantic_equivalent,30.2,1850
v6_DeepSeek-V_L2_cot_abstract_r1,DeepSeek-V3,Sandwich Product,2,cot,abstract,minkowski_4,4,1,True,none,ω₂ * ω₃,False,semantic_equivalent,18.9,1186
v6_DeepSeek-V_L2_cot_standard_r0,DeepSeek-V4-Flash,Sandwich Product,2,cot,standard,minkowski_4,4,0,True,none,**  e_{2} * e_{3},False,semantic_equivalent,28.0,1087
v6_Qwen3-8B-L_L0_cot_abstract_r1,Qwen3-8B-Local,Anti-Commutativity,0,cot,abstract,minkowski_4,4,1,True,none,0**,False,semantic_equivalent,60.9,556
v6_DeepSeek-V_L2_cot_standard_r0,DeepSeek-V3,Sandwich Product,2,cot,standard,minkowski_4,4,0,,uncertain,The expression simplifies to  e_{2} * e_{3} .,False,uncertain,28.6,2114
v6_DeepSeek-V_L1_cot_abstract_r2,DeepSeek-V3.2,Position Sensitivity,1,cot,abstract,minkowski_4,4,2,True,none,"**  

\omega_1 * \omega_2 * \omega_3",False,semantic_equivalent,24.4,1571
